"","id_id","litter_dry","plot_indicator","range_class","range_score"
"139","masouleh_GA1",4.93,"B3","Fair",52.4
"140","masouleh_GA1",4.93,"B4","Very Poor",14
"141","masouleh_GA1",9.85,"B5","Poor",37.5
"142","masouleh_GA1",7.88,"B6","Poor",35.8
"143","masouleh_GA1",0.99,"B7","Very Poor",28.2
"144","masouleh_GA1",5.91,"B8","Fair",55.8
"145","masouleh_GA1",4.93,"C1","Poor",48.8
"146","masouleh_GA1",6.9,"C2","Poor",43.5
"147","masouleh_GA1",11.82,"C3","Poor",42.3
"148","masouleh_GA1",7.88,"C4","Very Poor",27.1
"149","masouleh_GA1",13.79,"C5","Very Poor",23
"150","masouleh_GA1",9.85,"C6","Poor",39.8
"151","masouleh_GA1",3.94,"C7","Poor",42
"152","masouleh_GA1",9.85,"C8","Poor",42
"153","masouleh_GA1",14.78,"D1","Fair",55.2
"154","masouleh_GA1",4.93,"D2","Poor",48.5
"155","masouleh_GA1",14.78,"D3","Fair",52.2
"156","masouleh_GA1",12.81,"D4","Poor",35.4
"157","masouleh_GA1",11.82,"D5","Poor",33.2
"158","masouleh_GA1",14.78,"D6","Very Poor",28.7
"159","masouleh_GA1",5.91,"D7","Poor",41.7
"160","masouleh_GA1",5.91,"D8","Fair",51.9
"161","masouleh_GA1",9.85,"E1","Fair",50
"162","masouleh_GA1",4.93,"E2","Poor",42.5
"163","masouleh_GA1",9.85,"E3","Poor",38.8
"164","masouleh_GA1",9.85,"E4","Very Poor",28.9
"165","masouleh_GA1",5.91,"E5","Very Poor",26.2
"166","masouleh_GA1",4.93,"E6","Very Poor",27.4
"167","masouleh_GA1",4.93,"E7","Poor",34.6
"168","masouleh_GA1",6.9,"E8","Poor",29.6
"169","masouleh_GA1",0.99,"F1","Poor",35.8
"170","masouleh_GA1",9.85,"F2","Poor",46.6
"171","masouleh_GA1",14.78,"F3","Very Poor",26.7
"172","masouleh_GA1",8.87,"F4","Very Poor",27
"173","masouleh_GA1",4.93,"F5","Poor",32.8
"174","masouleh_GA1",6.9,"F6","Poor",44.6
"175","masouleh_GA1",10.84,"F7","Fair",50.9
"176","masouleh_GA1",4.93,"F8","Very Poor",18.8
"177","masouleh_GA1",1.97,"G1","Poor",39.6
"178","masouleh_GA1",6.9,"G2","Fair",52.5
"179","masouleh_GA1",11.82,"G3","Poor",32.8
"180","masouleh_GA1",4.93,"G4","Poor",40.5
"181","masouleh_GA1",8.87,"G5","Very Poor",27.8
"182","masouleh_GA1",9.85,"G6","Poor",36.4
"183","masouleh_GA1",6.9,"G7","Poor",48.5
"184","masouleh_GA1",11.82,"G8","Very Poor",22.2
"185","masouleh_GA1",0.99,"H1","Poor",46.2
"186","masouleh_GA1",9.85,"H2","Fair",56.7
"187","masouleh_GA1",3.94,"H3","Very Poor",19.8
"188","masouleh_GA1",7.88,"H4","Very Poor",28.8
"189","masouleh_GA1",12.81,"H5","Poor",31
"190","masouleh_GA1",8.87,"H6","Poor",32.2
"191","masouleh_GA1",9.85,"H7","Poor",32.7
"192","masouleh_GA1",8.87,"H8","Very Poor",24.4
"193","masouleh_GA2",9.18,"A1","Good",72.3
"194","masouleh_GA2",11.42,"A2","Useless",0
"195","masouleh_GA2",15.9,"A3","Excellent",81.86
"196","masouleh_GA2",9.18,"A4","Useless",0
"197","masouleh_GA2",8.74,"A5","Excellent",100
"198","masouleh_GA2",5.82,"A6","Useless",0
"199","masouleh_GA2",8.06,"A7","Good",75.8
"200","masouleh_GA2",14.56,"A8","Useless",0
"201","masouleh_GA2",10.3,"B1","Excellent",100
"202","masouleh_GA2",9.18,"B2","Excellent",100
"203","masouleh_GA2",8.96,"B3","Excellent",95.1
"204","masouleh_GA2",11.42,"B4","Excellent",92.9
