"","col","row","range_score","range_class","id_id"
"186","H","2",56.7,"Fair","masouleh_GA1"
"187","H","3",19.8,"Very Poor","masouleh_GA1"
"188","H","4",28.8,"Very Poor","masouleh_GA1"
"189","H","5",31,"Poor","masouleh_GA1"
"190","H","6",32.2,"Poor","masouleh_GA1"
"191","H","7",32.7,"Poor","masouleh_GA1"
"192","H","8",24.4,"Very Poor","masouleh_GA1"
"193","A","1",72.3,"Good","masouleh_GA2"
"194","A","2",0,"Useless","masouleh_GA2"
"195","A","3",81.86,"Excellent","masouleh_GA2"
"196","A","4",0,"Useless","masouleh_GA2"
"197","A","5",100,"Excellent","masouleh_GA2"
"198","A","6",0,"Useless","masouleh_GA2"
"199","A","7",75.8,"Good","masouleh_GA2"
"200","A","8",0,"Useless","masouleh_GA2"
"201","B","1",100,"Excellent","masouleh_GA2"
"202","B","2",100,"Excellent","masouleh_GA2"
"203","B","3",95.1,"Excellent","masouleh_GA2"
"204","B","4",92.9,"Excellent","masouleh_GA2"
"205","B","5",97.03,"Excellent","masouleh_GA2"
"206","B","6",100,"Excellent","masouleh_GA2"
"207","B","7",99,"Excellent","masouleh_GA2"
"208","B","8",90,"Excellent","masouleh_GA2"
"209","C","1",99.1,"Excellent","masouleh_GA2"
"210","C","2",82,"Excellent","masouleh_GA2"
"211","C","3",85.7,"Excellent","masouleh_GA2"
"212","C","4",78,"Good","masouleh_GA2"
"213","C","5",93.3,"Excellent","masouleh_GA2"
"214","C","6",86.6,"Excellent","masouleh_GA2"
"215","C","7",85,"Excellent","masouleh_GA2"
"216","C","8",79,"Good","masouleh_GA2"
"217","D","1",95.47,"Excellent","masouleh_GA2"
"218","D","2",94.1,"Excellent","masouleh_GA2"
"219","D","3",100,"Excellent","masouleh_GA2"
"220","D","4",100,"Excellent","masouleh_GA2"
"221","D","5",66.8,"Fair","masouleh_GA2"
"222","D","6",79.5,"Good","masouleh_GA2"
"223","D","7",74,"Good","masouleh_GA2"
"224","D","8",100,"Excellent","masouleh_GA2"
"225","E","1",74.4,"Good","masouleh_GA2"
"226","E","2",91,"Excellent","masouleh_GA2"
"227","E","3",87.6,"Excellent","masouleh_GA2"
"228","E","4",99.01,"Excellent","masouleh_GA2"
"229","E","5",62.6,"Fair","masouleh_GA2"
"230","E","6",61,"Fair","masouleh_GA2"
"231","E","7",68.3,"Fair","masouleh_GA2"
"232","E","8",90.2,"Excellent","masouleh_GA2"
"233","F","2",77.61,"Good","masouleh_GA2"
"234","F","3",63.1,"Fair","masouleh_GA2"
"235","F","4",67,"Fair","masouleh_GA2"
"236","F","5",61.1,"Fair","masouleh_GA2"
"237","F","6",72.7,"Good","masouleh_GA2"
"238","F","7",50,"Fair","masouleh_GA2"
"239","F","8",69.6,"Fair","masouleh_GA2"
"240","G","1",92.9,"Excellent","masouleh_GA2"
"241","G","2",63.9,"Fair","masouleh_GA2"
"242","G","3",39,"Poor","masouleh_GA2"
"243","G","4",84.7,"Excellent","masouleh_GA2"
"244","G","5",81.5,"Excellent","masouleh_GA2"
"245","G","6",83.8,"Excellent","masouleh_GA2"
"246","G","7",73.4,"Good","masouleh_GA2"
"247","G","8",81.6,"Excellent","masouleh_GA2"
"248","H","2",72.2,"Good","masouleh_GA2"
"249","H","3",76.4,"Good","masouleh_GA2"
"250","H","4",60.4,"Fair","masouleh_GA2"
"251","H","5",82.3,"Excellent","masouleh_GA2"
"252","H","6",65.6,"Fair","masouleh_GA2"
"253","H","7",76.7,"Good","masouleh_GA2"
"254","H","8",49.9,"Poor","masouleh_GA2"
"255","A","1",89.7,"Excellent","maz_java_EA1"
"256","A","2",91.3,"Excellent","maz_java_EA1"
"257","A","3",66.5,"Fair","maz_java_EA1"
"258","A","4",85.4,"Excellent","maz_java_EA1"
"259","A","5",74.1,"Good","maz_java_EA1"
"260","A","6",80.7,"Excellent","maz_java_EA1"
"261","A","7",71.5,"Good","maz_java_EA1"
"262","A","8",72.9,"Good","maz_java_EA1"
"263","B","1",84.9,"Excellent","maz_java_EA1"
"264","B","2",86.7,"Excellent","maz_java_EA1"
"265","B","3",74.3,"Good","maz_java_EA1"
"266","B","4",88.7,"Excellent","maz_java_EA1"
"267","B","5",66.5,"Fair","maz_java_EA1"
"268","B","6",87.1,"Excellent","maz_java_EA1"
"269","B","7",84.1,"Excellent","maz_java_EA1"
"270","B","8",76.6,"Good","maz_java_EA1"
"271","C","1",87.9,"Excellent","maz_java_EA1"
"272","C","2",85.9,"Excellent","maz_java_EA1"
"273","C","3",95,"Excellent","maz_java_EA1"
"274","C","4",91.8,"Excellent","maz_java_EA1"
"275","C","5",75.8,"Good","maz_java_EA1"
"276","C","6",82.7,"Excellent","maz_java_EA1"
"277","C","7",83.4,"Excellent","maz_java_EA1"
"278","C","8",62.3,"Fair","maz_java_EA1"
"279","D","1",89.8,"Excellent","maz_java_EA1"
"280","D","2",78,"Good","maz_java_EA1"
"281","D","3",95.1,"Excellent","maz_java_EA1"
"282","D","4",93.8,"Excellent","maz_java_EA1"
"283","D","5",91.3,"Excellent","maz_java_EA1"
"284","D","6",66.5,"Fair","maz_java_EA1"
"285","D","7",82.3,"Excellent","maz_java_EA1"
"286","D","8",80.4,"Good","maz_java_EA1"
"287","E","1",89,"Excellent","maz_java_EA1"
"288","E","2",91,"Excellent","maz_java_EA1"
"289","E","3",91.1,"Excellent","maz_java_EA1"
"290","E","4",78.7,"Good","maz_java_EA1"
"291","E","5",89.6,"Excellent","maz_java_EA1"
"292","E","6",60.2,"Fair","maz_java_EA1"
"293","E","7",81.3,"Excellent","maz_java_EA1"
"294","E","8",70.1,"Good","maz_java_EA1"
"295","F","1",92.5,"Excellent","maz_java_EA1"
"296","F","2",91.5,"Excellent","maz_java_EA1"
"297","F","3",92.3,"Excellent","maz_java_EA1"
"298","F","4",89.1,"Excellent","maz_java_EA1"
"299","F","5",89.5,"Excellent","maz_java_EA1"
"300","F","6",62.1,"Fair","maz_java_EA1"
"301","F","7",65.8,"Fair","maz_java_EA1"
"302","F","8",71.8,"Good","maz_java_EA1"
"303","G","1",86.2,"Excellent","maz_java_EA1"
"304","G","2",90.9,"Excellent","maz_java_EA1"
"305","G","3",86.2,"Excellent","maz_java_EA1"
"306","G","4",72.8,"Good","maz_java_EA1"
"307","G","5",51,"Fair","maz_java_EA1"
"308","G","6",52.8,"Fair","maz_java_EA1"
"309","G","7",40.5,"Poor","maz_java_EA1"
"310","G","8",43.8,"Poor","maz_java_EA1"
"311","H","1",79.6,"Good","maz_java_EA1"
"312","H","2",86.8,"Excellent","maz_java_EA1"
"313","H","3",86,"Excellent","maz_java_EA1"
"314","H","4",77.4,"Good","maz_java_EA1"
"315","H","5",67.7,"Fair","maz_java_EA1"
"316","H","6",69.4,"Good","maz_java_EA1"
"317","H","7",61.2,"Fair","maz_java_EA1"
"318","A","1",78.9,"Good","maz_java_GA1"
"319","A","2",68,"Fair","maz_java_GA1"
"320","A","3",74.5,"Good","maz_java_GA1"
"321","A","4",80.3,"Excellent","maz_java_GA1"
"322","A","5",73.2,"Good","maz_java_GA1"
"323","A","6",49,"Poor","maz_java_GA1"
"324","A","7",61.9,"Fair","maz_java_GA1"
"325","A","8",72.4,"Good","maz_java_GA1"
"326","B","1",71.8,"Good","maz_java_GA1"
"327","B","2",79.8,"Good","maz_java_GA1"
"328","B","3",64.1,"Fair","maz_java_GA1"
"329","B","4",71.2,"Good","maz_java_GA1"
"330","B","5",72.5,"Good","maz_java_GA1"
"331","B","6",70.7,"Good","maz_java_GA1"
"332","B","7",73.4,"Good","maz_java_GA1"
"333","B","8",84.2,"Excellent","maz_java_GA1"
"334","C","1",63.7,"Fair","maz_java_GA1"
"335","C","2",79.4,"Good","maz_java_GA1"
"336","C","3",81.4,"Excellent","maz_java_GA1"
"337","C","4",40.9,"Poor","maz_java_GA1"
"338","C","5",63.2,"Fair","maz_java_GA1"
"339","C","6",70.3,"Good","maz_java_GA1"
"340","C","7",51.5,"Fair","maz_java_GA1"
"341","C","8",83,"Excellent","maz_java_GA1"
"342","D","1",57.7,"Fair","maz_java_GA1"
"343","D","2",91.6,"Excellent","maz_java_GA1"
"344","D","3",82.7,"Excellent","maz_java_GA1"
"345","D","4",84.3,"Excellent","maz_java_GA1"
"346","D","5",68.5,"Fair","maz_java_GA1"
"347","D","6",55.3,"Fair","maz_java_GA1"
"348","D","7",73.7,"Good","maz_java_GA1"
"349","D","8",78.6,"Good","maz_java_GA1"
"350","E","1",66.2,"Fair","maz_java_GA1"
"351","E","2",88.3,"Excellent","maz_java_GA1"
"352","E","3",82,"Excellent","maz_java_GA1"
"353","E","4",75,"Good","maz_java_GA1"
"354","E","5",77.9,"Good","maz_java_GA1"
"355","E","6",62.1,"Fair","maz_java_GA1"
"356","E","7",61.4,"Fair","maz_java_GA1"
"357","E","8",68.9,"Fair","maz_java_GA1"
"358","F","1",79.4,"Good","maz_java_GA1"
"359","F","2",70.6,"Good","maz_java_GA1"
"360","F","3",84.74,"Excellent","maz_java_GA1"
"361","F","4",79.2,"Good","maz_java_GA1"
"362","F","5",60.2,"Fair","maz_java_GA1"
"363","F","6",66.7,"Fair","maz_java_GA1"
"364","F","7",78.5,"Good","maz_java_GA1"
"365","F","8",78.8,"Good","maz_java_GA1"
"366","G","1",80.3,"Excellent","maz_java_GA1"
"367","G","2",82.9,"Excellent","maz_java_GA1"
"368","G","3",85.2,"Excellent","maz_java_GA1"
"369","G","4",75,"Good","maz_java_GA1"
"370","G","5",51.6,"Fair","maz_java_GA1"
"371","G","6",77.5,"Good","maz_java_GA1"
"372","G","7",77.1,"Good","maz_java_GA1"
"373","G","8",69.8,"Good","maz_java_GA1"
"374","H","1",83.4,"Excellent","maz_java_GA1"
"375","H","2",76.6,"Good","maz_java_GA1"
"376","H","3",80.5,"Excellent","maz_java_GA1"
"377","H","4",77,"Good","maz_java_GA1"
"378","H","5",72.1,"Good","maz_java_GA1"
"379","H","6",83.5,"Excellent","maz_java_GA1"
"380","H","7",66.9,"Fair","maz_java_GA1"
"381","H","8",69.9,"Good","maz_java_GA1"
"382","A","1",75.9,"Good","maz_java_GA2"
"383","A","2",64.5,"Fair","maz_java_GA2"
"384","A","3",71.3,"Good","maz_java_GA2"
"385","A","4",68.1,"Fair","maz_java_GA2"
"386","A","5",66.8,"Fair","maz_java_GA2"
"387","A","6",69,"Fair","maz_java_GA2"
"388","A","7",59.6,"Fair","maz_java_GA2"
"389","A","8",75.3,"Good","maz_java_GA2"
"390","B","1",63.5,"Fair","maz_java_GA2"
"391","B","2",70,"Good","maz_java_GA2"
"392","B","3",67.8,"Fair","maz_java_GA2"
"393","B","4",72.9,"Good","maz_java_GA2"
"394","B","5",64.9,"Fair","maz_java_GA2"
"395","B","6",66.1,"Fair","maz_java_GA2"
"396","B","7",73,"Good","maz_java_GA2"
"397","B","8",65.1,"Fair","maz_java_GA2"
"398","C","1",64.6,"Fair","maz_java_GA2"
"399","C","2",58.9,"Fair","maz_java_GA2"
"400","C","3",77.6,"Good","maz_java_GA2"
"401","C","4",63.5,"Fair","maz_java_GA2"
"402","C","5",74.8,"Good","maz_java_GA2"
"403","C","6",79.6,"Good","maz_java_GA2"
"404","C","7",62.3,"Fair","maz_java_GA2"
"405","C","8",76.8,"Good","maz_java_GA2"
"406","D","1",64.3,"Fair","maz_java_GA2"
"407","D","2",64.2,"Fair","maz_java_GA2"
"408","D","3",69.1,"Good","maz_java_GA2"
"409","D","4",79.7,"Good","maz_java_GA2"
"410","D","5",73.8,"Good","maz_java_GA2"
"411","D","6",64.8,"Fair","maz_java_GA2"
"412","D","7",72.8,"Good","maz_java_GA2"
"413","D","8",55.8,"Fair","maz_java_GA2"
"414","E","1",63.5,"Fair","maz_java_GA2"
"415","E","2",51.4,"Fair","maz_java_GA2"
"416","E","3",76.4,"Good","maz_java_GA2"
"417","E","4",82,"Excellent","maz_java_GA2"
"418","E","5",68.2,"Fair","maz_java_GA2"
"419","E","6",70,"Good","maz_java_GA2"
"420","E","7",75.3,"Good","maz_java_GA2"
"421","E","8",65.7,"Fair","maz_java_GA2"
"422","F","1",65.8,"Fair","maz_java_GA2"
"423","F","2",69.4,"Good","maz_java_GA2"
"424","F","3",68.4,"Fair","maz_java_GA2"
"425","F","4",77.1,"Good","maz_java_GA2"
"426","F","5",65.7,"Fair","maz_java_GA2"
"427","F","6",71.8,"Good","maz_java_GA2"
"428","F","7",74.8,"Good","maz_java_GA2"
"429","F","8",76.4,"Good","maz_java_GA2"
"430","G","1",53.7,"Fair","maz_java_GA2"
"431","G","2",65.6,"Fair","maz_java_GA2"
"432","G","3",64.2,"Fair","maz_java_GA2"
"433","G","4",70.4,"Good","maz_java_GA2"
"434","G","5",70.6,"Good","maz_java_GA2"
"435","G","6",67.3,"Fair","maz_java_GA2"
"436","G","7",72.3,"Good","maz_java_GA2"
"437","G","8",74.1,"Good","maz_java_GA2"
"438","H","1",56.1,"Fair","maz_java_GA2"
"439","H","2",69.8,"Good","maz_java_GA2"
"440","H","3",77.9,"Good","maz_java_GA2"
"441","H","4",63.7,"Fair","maz_java_GA2"
"442","H","5",62.5,"Fair","maz_java_GA2"
"443","H","6",45.6,"Poor","maz_java_GA2"
"444","H","7",69.5,"Good","maz_java_GA2"
"445","A","1",82.8,"Excellent","maz_po_EA1"
"446","A","2",87,"Excellent","maz_po_EA1"
"447","A","3",83.7,"Excellent","maz_po_EA1"
"448","A","4",78.7,"Good","maz_po_EA1"
"449","A","5",77,"Good","maz_po_EA1"
"450","A","6",80.1,"Excellent","maz_po_EA1"
"451","A","7",78.5,"Good","maz_po_EA1"
"452","A","8",82.2,"Excellent","maz_po_EA1"
"453","B","1",78.86,"Good","maz_po_EA1"
"454","B","2",89.83,"Excellent","maz_po_EA1"
"455","B","3",87.1,"Excellent","maz_po_EA1"
"456","B","4",84.6,"Excellent","maz_po_EA1"
"457","B","5",80.8,"Excellent","maz_po_EA1"
"458","B","6",79.9,"Good","maz_po_EA1"
"459","B","7",84.2,"Excellent","maz_po_EA1"
